Topic,Labels
-1,outliers
0,marijuana
1,ask help - ask help post
2,order
3,empire market
4,vendor vendor - vendor - vendor inquiry
5,fraud - scammer
6,darknet
7,mdma
8,xanax
9,tab - lsd - ug
10,crosspost vendor
11,bitcoin
12,credit card
13,dream market - dread
14,ask help - moderator
15,cocaine vendor - cocaine
16,reviews vendor
17,new market
18,pgp key
19,ticket - deposited - deposit
20,bunk bar
21,oxycodone
22,fake IDs
23,drugs - drugsuk - drug
24,cocaine
25,pills - xtc
26,counterfeit money
27,ketamine review - ketamine - ketamine vendor
28,wsm vendor - wsm market
29,methamphetamine
30,ticket support
31,hacking
32,access problems
33,adderall - pills
34,btc - btc xmr - xmr
35,tail - tails - electrum
36,mushrooms
37,dread
38,vbv - cc - cvv
39,cryptonia market - dread
40,withdrawal - withdrawl - withdraw
41,escrow service
42,heroin
43,har - noen - de
44,dnm - dnms - dn
45,wallstreet
46,ddos attack
47,paypal transfer - paypal - transfer
48,event happened
49,rc - benzo - benzos
50,fraud
51,dream - dream vendor - dread
52,order cancelled
53,bank drop - bank log - bank
54,site - onion site - onion
55,phishing
56,market - apollon - apollon market
57,opsec question
58,link
59,mirror - mirror link - working mirror
60,fent - fentanyl - carfentanil
61,cgmc - invite - invite code
62,powder - alprazolam - alprazolam powder
63,dmt vape - dmt - dmt vendor
64,capcha
65,research chemical - research - chemical
66,tor browser
67,methamphetamine - pills
