Iteration,n_neighbors,n_components,min_cluster_size,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
1,15,5,300,33907,-0.007941158,2.6771551976013273,False,"[33907, 27680, 2330, 1503, 679, 636]","['vendor new best uk looking mdma free crosspost sale need review usa btc good shipping lsd question help legit account', 'vendor market review empire dream order xanax weed mg new mdma cocaine uk best coke nightmare drug ketamine crosspost lsd', 'bitcoin monero bank key account pgp wallet drop login log use public bitcoins help password vendor fa tail need buy', 'ticket card carding support credit help deposit month debit cards response need physical prepaid carder missing open reply account mod', 'update updated maintenance upgrade vendor order updates quick dbay updating clearlythebest ctb status important jberg electrum list new pack methylamph', 'help link need working main url links phishing pm new noob work guy pls captcha got know looking right posting']"
1,15,5,450,33293,0.15668605,1.0611710499614742,False,"[33293, 17952, 9410, 4701, 717, 662]","['vendor new best uk mdma free crosspost sale help need looking dispute usa shipping lsd question link market cocaine order', 'market vendor empire dream order nightmare bitcoin card scammer scam monero account deposit bank carding btc looking wallet best pack', 'review vendor mg weed xanax cocaine coke sample mdma drug cannabis uk free darknet best dark pill crosspost web ketamine', 'tried anybody experience mdma lsd ordered used heard got try know recently bought dread sub shit wsm vouch does guy', 'update maintenance updated upgrade vendor order updates quick dbay updating status clearlythebest important ctb jberg electrum new list pack good', 'ticket support deposit help month response missing reply mod open double account se en day week empire look dispute answered']"
1,15,5,600,35293,0.034831118,1.1526168312971692,False,"[35293, 18366, 10962, 787, 676, 651]","['vendor new best free uk mdma help need crosspost looking sale shipping dispute account usa lsd question pgp link order', 'market vendor empire dream order nightmare card bitcoin bank carding scammer scam deposit btc pack package looking account exit nt', 'review vendor xanax mg weed cocaine coke uk ketamine drug mdma best cannabis pill meth darknet sample quality dark crosspost', 'tried experience anybody ordered used bought try recently order vouch vendor does purchased got deal use buy dealt lsd ordering', 'update updated upgrade vendor order updates updating quick status clearlythebest ctb jberg electrum new list important pack good methylamph situation', 'ticket support deposit help month response missing reply double open mod account se en day week look dispute answered waiting']"
1,15,5,750,16000,0.2524638,1.1022271704959177,False,"[16000, 5982, 44753]","['vendor update new dispute help link best uk usa key ticket account question pgp mod need market support id fake', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax new looking cocaine free crosspost sale coke shipping need lsd good']"
1,15,5,900,17427,0.25962648,1.0905754550606328,False,"[17427, 5965, 43343]","['vendor update new ticket dispute help support link account best uk usa need pgp key market question mod id fake', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax looking cocaine free new crosspost sale coke shipping need lsd good']"
1,15,5,1050,17590,0.2616078,1.08817730764058,False,"[17590, 5973, 43172]","['vendor new update ticket dispute help account support link best uk usa pgp key day need market mod id question', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax looking cocaine free crosspost new sale coke shipping need lsd good']"
1,15,5,1200,39070,0.3438828,0.8604745525541284,True,"[39070, 16929, 3948, 3694, 1882, 1212]","['vendor new free help best uk account need update crosspost mdma ticket looking dispute question support sale btc deposit order', 'vendor market empire dream weed xanax mg uk best nightmare cocaine scammer mdma looking new ketamine sale cannabis scam pill', 'mdma lsd shit sub fuck got whats wsm going ddos like dmt guy fucking cb dnm make nt read dd', 'review vendor mg mdma crosspost sample lsd xanax distillate ketamine cocaine heinekenexpress reviews product cart oz vendymcvendface meth pack kush', 'order delivery package shipping shipped ordering time pack delivered ordered cancelled cancel vendor day post nt long informed mail marked', 'card credit carding wallet coin debit coinbase btc paypal bank need currency loan account cc cash help bitcoin exchange method']"
1,15,5,1350,39582,0.47324476,0.753337307659498,True,"[39582, 9112, 6436, 5989, 3791, 1825]","['vendor new best free help uk crosspost account mdma need update ticket looking dispute support sale order shipping question coke', 'market vendor empire dream nightmare looking scammer scam new good sale crosspost legit buyer order exit link need trusted best', 'card wallet credit btc coin carding paypal mdma looking lsd coinbase need bank debit cryptonia cash cashout xmr account cc', 'weed xanax mg vendor ketamine cocaine cannabis uk best pill drug quality mdma heroin meth new usa price sale high', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine heinekenexpress reviews product cart oz karmaking vendymcvendface dream pack', 'order delivery shipping package shipped ordering time ordered delivered pack cancel post vendor day cancelled nt mail informed long marked']"
1,15,5,1500,39954,0.4751649,0.7446429785931216,False,"[39954, 8722, 6854, 5735, 3852, 1618]","['vendor new best free help uk crosspost account mdma need update dispute order ticket looking support sale cocaine coke shipping', 'market vendor dream empire nightmare looking new sale good crosspost scam legit buyer order scammer trusted need apollon link cryptonia', 'card wallet credit btc coin looking paypal dread mdma carding need cryptonia cash cashout lsd cc bank xmr coinbase crypto', 'weed xanax mg vendor ketamine cannabis uk best pill drug quality cocaine mdma heroin meth new usa price sale adderall', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine heinekenexpress reviews product feedback dream cart karmaking vendymcvendface oz', 'order delivery shipping package shipped ordering ordered time delivered day post long pack mail nt arrived received informed marked express']"
1,15,5,1650,19778,0.268276,1.0422380656329169,False,"[19778, 5297, 41660]","['vendor new update ticket dispute empire help account link support best pgp uk usa day experience mod need key market', 'market dream empire nightmare vendor new scam order crosspost marketplace link apollon exit best account cryptonia nt markets update working', 'vendor review order mdma uk mg best weed xanax looking free crosspost new cocaine sale shipping need lsd good quality']"
1,15,5,1800,16939,0.26428038,1.034729904116586,False,"[16939, 5213, 44583]","['vendor update ticket new dispute empire help link account support pgp experience best mod key day usa uk id mirror', 'market dream empire vendor nightmare new scam order crosspost marketplace exit wall apollon best link account cryptonia nt markets update', 'vendor review order mdma uk best mg weed looking xanax free new crosspost cocaine sale need shipping lsd good coke']"
1,15,5,1950,13532,0.26181987,1.0020424011230527,False,"[13532, 4932, 48271]","['empire vendor update ticket dispute link new support help experience mod key pgp account mirror id working order source onion', 'market dream empire vendor nightmare new wall scam marketplace exit apollon street crosspost order best cryptonia markets update samsara account', 'vendor review order uk mdma best mg new weed looking xanax free crosspost cocaine sale need shipping lsd good help']"
1,15,10,300,31246,0.07237506,1.4166135244764992,False,"[31246, 21715, 11086, 1662, 723, 303]","['vendor new uk best mdma free looking crosspost sale review need usa lsd shipping question dread good price domestic sample', 'market vendor empire dream order account nightmare bitcoin card new monero scammer scam deposit bank btc carding pgp wallet key', 'review vendor weed xanax mg cocaine coke drug ketamine uk mdma best cannabis pill darknet free dark meth new crosspost', 'ticket dispute help support mod need month deposit moderator response day mods resolved week look reply open se en missing', 'update maintenance updated upgrade vendor order updates quick dbay status updating jberg clearlythebest important ctb electrum new list pack good', 'link working main phishing url links pm new captcha urls work need got page posting beware verify help fresh guy']"
1,15,10,450,34717,0.13733399,1.096829970483124,False,"[34717, 18413, 11007, 1182, 729, 687]","['vendor new market best empire uk mdma free help looking sale need crosspost link usa question dispute shipping lsd order', 'market vendor dream order bitcoin card nightmare monero bank carding account scammer btc deposit pack wallet scam package looking nt', 'review vendor weed mg xanax cocaine coke drug mdma uk ketamine best cannabis sample pill free darknet dark meth crosspost', 'empire dispute deposit vendor order market scam account scammer issue exit btc banned scamming working safe crosspost scammed withdrawal phishing', 'update maintenance updated upgrade vendor order updates quick dbay feedback status updating jberg important clearlythebest ctb electrum new list change', 'ticket support deposit help month response missing reply empire mod open double account se en day week look answered tickets']"
