n_neighbors,n_components,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
15,2,0,0.39085436,0.8361168780536765,True,"[16166, 15045, 13768, 13284, 8472]","['review weed cocaine xanax mg coke vendor free mdma sample', 'bitcoin account help ticket empire deposit card support pgp bank', 'dread question source pack mdma bar lsd looking know tried', 'vendor order scammer uk mdma scam experience shipping lsd sale', 'market dream nightmare link darknet dark empire mirror vendor onion']"
15,3,0,0.3293164,1.0718127007911895,False,"[17995, 16085, 16057, 10821, 5777]","['order update dispute pack package experience question time day dread', 'weed cocaine xanax vendor uk coke mdma mg best sale', 'bitcoin account ticket help card deposit bank support pgp carding', 'market vendor empire dream nightmare scammer mirror inquiry scam wall', 'review sample vendor free giveaway test mdma feedback lsd mg']"
15,5,0,0.30908108,1.1737152589735884,False,"[23439, 15100, 13929, 9323, 4944]","['bitcoin help account ticket card need btc deposit pgp support', 'weed cocaine xanax coke mg mdma free uk ketamine best', 'vendor order scammer scam pack package experience shipping legit scamming', 'market empire dream nightmare update darknet dark mirror vendor onion', 'review vendor sample test mdma feedback mg lsd reviews testing']"
15,10,0,0.30780876,1.1755741755512443,False,"[25156, 14779, 12706, 9258, 4836]","['bitcoin help account ticket card need btc deposit support pgp', 'weed cocaine xanax coke mg free mdma uk ketamine best', 'vendor order pack package experience scammer shipping uk lsd international', 'market empire dream nightmare update darknet dark mirror vendor onion', 'review vendor sample test mdma feedback mg reviews lsd testing']"
30,2,0,0.38797876,0.8339582967748509,True,"[15722, 15256, 14663, 12478, 8616]","['review weed cocaine xanax mg coke vendor free mdma ketamine', 'bitcoin account help ticket empire dispute deposit card support btc', 'order dread question lsd vacation mdma bar know invite looking', 'vendor scammer scam mdma experience package uk shipping lsd sale', 'market dream nightmare link update darknet dark mirror empire onion']"
30,3,0,0.32430187,1.0682640921483784,False,"[18007, 15203, 14668, 12622, 6235]","['vendor weed xanax cocaine uk mdma coke best mg sale', 'order pack package question time dread shipping day delivery post', 'bitcoin help account ticket card deposit dispute support bank pgp', 'market empire dream vendor update link nightmare scammer darknet dark', 'review sample vendor free giveaway mdma test samples mg lsd']"
30,5,0,0.3018002,1.2031306486647364,False,"[19557, 17642, 14625, 9667, 5244]","['help bitcoin scammer account order ticket dispute card support deposit', 'vendor weed cocaine xanax mdma uk coke mg best sale', 'pack package experience question dread lsd anybody mdma know tried', 'market empire dream update nightmare link darknet dark vendor mirror', 'review vendor sample test mdma mg giveaway feedback milkman cdnven']"
30,10,0,0.29836732,1.21151409376233,False,"[23664, 14644, 14430, 9101, 4896]","['vendor order scammer lsd pack looking package scam experience mdma', 'bitcoin help account ticket card dispute deposit support pgp btc', 'weed cocaine xanax coke free mdma mg uk best vendor', 'market empire dream nightmare update darknet dark mirror vendor onion', 'review vendor sample test mdma mg feedback milkman cdnven lsd']"
40,2,0,0.39366916,0.8111914234808955,True,"[16258, 15175, 13872, 13539, 7891]","['review weed cocaine xanax mg coke vendor free mdma ketamine', 'bitcoin account help ticket empire deposit card dispute support bank', 'dread source question experience lsd mdma looking bar invite tried', 'vendor order scammer scam package shipping mdma uk scamming looking', 'market dream nightmare update darknet dark mirror onion empire vendor']"
40,3,0,0.32322487,1.0627015950297662,False,"[18170, 16109, 15441, 10687, 6328]","['vendor weed xanax cocaine uk mdma coke best mg sale', 'bitcoin help account ticket card dispute deposit support bank scammer', 'order pack package question dread time day shipping delivery post', 'market empire dream vendor update nightmare darknet mirror scammer link', 'review sample vendor free giveaway mdma test samples mg lsd']"
40,5,0,0.30884412,1.1465595070666457,True,"[16672, 15043, 12811, 12368, 9841]","['review weed cocaine xanax mg coke vendor free mdma ketamine', 'bitcoin help account ticket card dispute deposit support bank pgp', 'vendor order pack package experience shipping uk mdma looking lsd', 'source dread question mdma lsd looking bar know sub ddos', 'market empire dream nightmare update link darknet dark mirror vendor']"
40,10,0,0.29795542,1.21526271980967,False,"[23657, 14628, 14381, 9162, 4907]","['vendor order scammer pack package looking lsd scam experience mdma', 'weed cocaine xanax coke mdma free uk mg best vendor', 'bitcoin help account ticket dispute card deposit support pgp bank', 'market empire dream update nightmare darknet dark mirror vendor onion', 'review vendor sample test mdma mg feedback cdnven milkman testing']"
50,2,0,0.39437115,0.8169294688365045,True,"[16322, 14139, 13782, 13314, 9178]","['review weed cocaine xanax mg coke vendor free mdma ketamine', 'update dread source question experience mdma lsd bar looking know', 'bitcoin account help ticket card deposit dispute support bank carding', 'vendor order scammer scam package shipping uk mdma lsd scamming', 'market empire dream nightmare link darknet dark mirror working vendor']"
50,3,0,0.3263339,1.0583929302187711,False,"[17730, 15447, 14916, 12515, 6127]","['vendor weed xanax cocaine uk mdma coke best mg sale', 'order pack package question dread day time shipping post delivery', 'bitcoin help account ticket card dispute deposit support bank pgp', 'market empire dream vendor update link nightmare scammer darknet dark', 'review sample vendor free giveaway mdma test samples mg lsd']"
50,5,0,0.31052017,1.15002436151279,True,"[16852, 14488, 13238, 12331, 9826]","['review weed cocaine xanax mg coke vendor mdma free ketamine', 'bitcoin help account ticket card dispute deposit support bank pgp', 'vendor order scammer pack package experience shipping uk mdma looking', 'source dread question mdma lsd looking bar sub know ddos', 'market empire dream nightmare update link darknet dark mirror vendor']"
50,10,0,0.30523652,1.1762626167620707,True,"[16732, 15771, 12945, 12185, 9102]","['review weed cocaine xanax mg coke vendor mdma free ketamine', 'bitcoin help account ticket card dispute deposit support bank pgp', 'vendor order pack package experience scammer shipping uk mdma looking', 'dread source question mdma lsd looking know sub bar ddos', 'market empire dream nightmare update darknet dark mirror vendor onion']"
