Iteration,n_neighbors,n_components,min_cluster_size,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
1,15,5,300,33907,0.028623912,3.8286037269098308,False,"[33907, 27680, 2330, 1503, 679, 636]","['vendor new best uk looking mdma free crosspost sale need review usa btc good shipping lsd question help legit account', 'vendor market review empire dream order xanax weed mg new mdma cocaine uk best coke nightmare drug ketamine crosspost lsd', 'bitcoin monero bank key account pgp wallet drop login log use public bitcoins help password vendor fa tail need buy', 'ticket card carding support credit help deposit month debit cards response need physical prepaid carder missing open reply account mod', 'update updated maintenance upgrade vendor order updates quick dbay updating clearlythebest ctb status important jberg electrum list new pack methylamph', 'help link need working main url links phishing pm new noob work guy pls captcha got know looking right posting']"
1,15,5,450,33293,0.029698504,3.7221373286765713,False,"[33293, 17952, 9410, 4701, 717, 662]","['vendor new best uk mdma free crosspost sale help need looking dispute usa shipping lsd question link market cocaine order', 'market vendor empire dream order nightmare bitcoin card scammer scam monero account deposit bank carding btc looking wallet best pack', 'review vendor mg weed xanax cocaine coke sample mdma drug cannabis uk free darknet best dark pill crosspost web ketamine', 'tried anybody experience mdma lsd ordered used heard got try know recently bought dread sub shit wsm vouch does guy', 'update maintenance updated upgrade vendor order updates quick dbay updating status clearlythebest important ctb jberg electrum new list pack good', 'ticket support deposit help month response missing reply mod open double account se en day week empire look dispute answered']"
1,15,5,600,35293,0.014872798,3.5184984738917975,False,"[35293, 18366, 10962, 787, 676, 651]","['vendor new best free uk mdma help need crosspost looking sale shipping dispute account usa lsd question pgp link order', 'market vendor empire dream order nightmare card bitcoin bank carding scammer scam deposit btc pack package looking account exit nt', 'review vendor xanax mg weed cocaine coke uk ketamine drug mdma best cannabis pill meth darknet sample quality dark crosspost', 'tried experience anybody ordered used bought try recently order vouch vendor does purchased got deal use buy dealt lsd ordering', 'update updated upgrade vendor order updates updating quick status clearlythebest ctb jberg electrum new list important pack good methylamph situation', 'ticket support deposit help month response missing reply double open mod account se en day week look dispute answered waiting']"
1,15,5,750,16000,0.027217971,4.6200877746970646,False,"[16000, 5982, 44753]","['vendor update new dispute help link best uk usa key ticket account question pgp mod need market support id fake', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax new looking cocaine free crosspost sale coke shipping need lsd good']"
1,15,5,900,17427,0.02829577,4.6007672922010645,False,"[17427, 5965, 43343]","['vendor update new ticket dispute help support link account best uk usa need pgp key market question mod id fake', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax looking cocaine free new crosspost sale coke shipping need lsd good']"
1,15,5,1050,17590,0.028420068,4.597619179021333,False,"[17590, 5973, 43172]","['vendor new update ticket dispute help account support link best uk usa pgp key day need market mod id question', 'market empire dream nightmare vendor new link order scam crosspost marketplace account apollon exit working deposit best dispute nt cryptonia', 'vendor review order mdma uk best weed mg xanax looking cocaine free crosspost new sale coke shipping need lsd good']"
1,15,5,1200,39070,0.049734607,3.3962639981669973,True,"[39070, 16929, 3948, 3694, 1882, 1212]","['vendor new free help best uk account need update crosspost mdma ticket looking dispute question support sale btc deposit order', 'vendor market empire dream weed xanax mg uk best nightmare cocaine scammer mdma looking new ketamine sale cannabis scam pill', 'mdma lsd shit sub fuck got whats wsm going ddos like dmt guy fucking cb dnm make nt read dd', 'review vendor mg mdma crosspost sample lsd xanax distillate ketamine cocaine heinekenexpress reviews product cart oz vendymcvendface meth pack kush', 'order delivery package shipping shipped ordering time pack delivered ordered cancelled cancel vendor day post nt long informed mail marked', 'card credit carding wallet coin debit coinbase btc paypal bank need currency loan account cc cash help bitcoin exchange method']"
1,15,5,1350,39582,0.064188614,3.4936956960927548,True,"[39582, 9112, 6436, 5989, 3791, 1825]","['vendor new best free help uk crosspost account mdma need update ticket looking dispute support sale order shipping question coke', 'market vendor empire dream nightmare looking scammer scam new good sale crosspost legit buyer order exit link need trusted best', 'card wallet credit btc coin carding paypal mdma looking lsd coinbase need bank debit cryptonia cash cashout xmr account cc', 'weed xanax mg vendor ketamine cocaine cannabis uk best pill drug quality mdma heroin meth new usa price sale high', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine heinekenexpress reviews product cart oz karmaking vendymcvendface dream pack', 'order delivery shipping package shipped ordering time ordered delivered pack cancel post vendor day cancelled nt mail informed long marked']"
1,15,5,1500,39954,0.06491907,3.4813510977503888,False,"[39954, 8722, 6854, 5735, 3852, 1618]","['vendor new best free help uk crosspost account mdma need update dispute order ticket looking support sale cocaine coke shipping', 'market vendor dream empire nightmare looking new sale good crosspost scam legit buyer order scammer trusted need apollon link cryptonia', 'card wallet credit btc coin looking paypal dread mdma carding need cryptonia cash cashout lsd cc bank xmr coinbase crypto', 'weed xanax mg vendor ketamine cannabis uk best pill drug quality cocaine mdma heroin meth new usa price sale adderall', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine heinekenexpress reviews product feedback dream cart karmaking vendymcvendface oz', 'order delivery shipping package shipped ordering ordered time delivered day post long pack mail nt arrived received informed marked express']"
1,15,5,1650,19778,0.028667787,4.401972632439112,False,"[19778, 5297, 41660]","['vendor new update ticket dispute empire help account link support best pgp uk usa day experience mod need key market', 'market dream empire nightmare vendor new scam order crosspost marketplace link apollon exit best account cryptonia nt markets update working', 'vendor review order mdma uk mg best weed xanax looking free crosspost new cocaine sale shipping need lsd good quality']"
