Iteration,n_neighbors,n_components,min_cluster_size,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
1,40,5,300,34105,0.024503125,2.9608330931359896,False,"[34105, 30144, 1071, 730, 346, 339]","['vendor new mdma uk best free looking sale crosspost usa need shipping review lsd good question order dread price cocaine', 'vendor market review empire dream order weed mg best uk nightmare xanax coke bitcoin mdma account card cocaine monero crosspost', 'ticket help support need deposit month response empire missing reply se en mod account double open day answer look week', 'update updated feedback vendor upgrade order change updates jberg edit clearlythebest ctb status updating stock quick new list electrum vender', 'key pgp public lost add keys profile vendor nt private changed change ca fa new market help account tail decrypt', 'dispute resolved day resolution long week processing mod month disputes look open response going solved resolve moderator waiting need help']"
1,40,5,450,35719,0.03759065,3.4668483967709056,False,"[35719, 19002, 9444, 1159, 719, 692]","['vendor new market best uk mdma empire help sale free crosspost looking need link usa lsd shipping question dread cocaine', 'market vendor dream order bitcoin card nightmare monero carding bank btc scammer account pack deposit wallet scam package looking nt', 'review vendor weed mg coke xanax cocaine cannabis sample mdma uk darknet free best dark drug pill crosspost web quality', 'empire deposit dispute order scam vendor issue scammer exit market btc scamming working banned account safe crosspost scammed withdrawal going', 'update updated feedback vendor upgrade order change updates jberg edit status updating stock quick clearlythebest ctb list electrum new situation', 'ticket support deposit help month response empire missing reply mod double open account se en day week look answered dispute']"
1,40,5,600,34208,0.041170515,3.3614567227202734,False,"[34208, 20337, 6994, 3788, 719, 689]","['vendor new free best uk mdma help crosspost need sale looking link account dispute usa shipping question market pgp lsd', 'market vendor empire dream order nightmare bitcoin card carding btc scam scammer bank pack looking deposit package good account nt', 'weed xanax mg cocaine coke vendor drug uk best cannabis pill ketamine darknet dark quality mdma meth web heroin price', 'review vendor mg sample mdma crosspost free xanax lsd ketamine distillate reviews product heinekenexpress cocaine vendymcvendface oz samples etizolam ug', 'update updated feedback vendor upgrade order change updates jberg edit stock status updating quick clearlythebest ctb list important electrum new', 'ticket support deposit help month response empire missing reply mod open double account se en day week look answered dispute']"
1,40,5,750,35947,0.05139916,3.745053816023364,False,"[35947, 12700, 6929, 4697, 3729, 2733]","['vendor new free help best mdma uk update crosspost need account ticket looking sale dispute support link usa shipping question', 'market vendor empire dream order nightmare scam scammer pack package exit looking nt new shipping crosspost good ordered scamming delivery', 'weed xanax mg cocaine coke vendor uk drug best cannabis pill ketamine darknet quality dark mdma meth web heroin price', 'mdma lsd cryptonia sub guy good shit like fuck got btc whats going wsm make cb ddos nt opsec dnm', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine reviews heinekenexpress product cocaine vendymcvendface oz cart kush ug meth', 'card bitcoin carding bank credit wallet paypal cash coin btc cashout account method need gift debit cc help coinbase buy']"
1,40,5,900,37184,0.05032735,3.60226801884433,True,"[37184, 16189, 4732, 3719, 2462, 2449]","['vendor new free help best uk mdma crosspost update account need ticket looking dispute sale support link question usa shipping', 'market vendor empire dream weed xanax cocaine mg best uk coke nightmare looking new scammer mdma scam cannabis ketamine good', 'mdma lsd cryptonia good sub guy like shit got fuck going wsm whats cb make dnm nt btc ddos opsec', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine reviews heinekenexpress product cocaine oz vendymcvendface pack kush ug cart', 'order package delivery shipping pack shipped ordering ordered tried time vendor cancelled delivered arrived cancel informed nt day received box', 'card carding bitcoin credit wallet bank paypal coin cash btc cashout account need gift debit method cc coinbase help way']"
1,40,5,1050,39881,0.05561684,3.3469904133628874,True,"[39881, 15206, 4270, 3699, 1895, 1784]","['vendor new free help best uk mdma account crosspost need update looking ticket dispute sale link support shipping usa question', 'market vendor empire dream weed xanax mg cocaine nightmare uk best coke looking new cannabis mdma ketamine sale good pill', 'mdma lsd shit fuck got good guy like going wsm ddos cb whats sub dmt drop opsec make nt dead', 'review vendor mg mdma crosspost lsd sample xanax distillate ketamine reviews heinekenexpress product cocaine oz vendymcvendface cart kush cartridge ug', 'order package delivery shipping shipped pack ordering time cancelled delivered ordered arrived vendor cancel day nt informed marked received post', 'card carding credit wallet coin bank btc paypal debit cashout coinbase need cash cc bitcoin account help cards prepaid method']"
1,40,5,1200,40143,0.066681586,3.478329256491553,True,"[40143, 8460, 6902, 5662, 3881, 1687]","['vendor new free best help uk mdma account crosspost need update looking ticket sale dispute market link shipping support order', 'market vendor dream empire nightmare scammer looking scam new good crosspost legit buyer sale order exit best lsd wsm vendors', 'card credit wallet carding btc coin paypal bank good cashout looking need method cash debit mdma cc drop coinbase cryptonia', 'weed xanax mg cocaine vendor uk cannabis best pill ketamine quality drug mdma meth coke heroin price usa high sale', 'review vendor mg mdma sample crosspost lsd xanax distillate reviews ketamine cocaine heinekenexpress product cart vendymcvendface oz feedback kush cartridge', 'order delivery shipping package shipped ordering ordered day vendor time delivered cancel pack cancelled nt arrived informed marked placed received']"
1,40,5,1350,41489,0.07028361,3.365867674809043,True,"[41489, 8162, 6504, 5009, 3944, 1627]","['vendor new best free uk help crosspost mdma need account looking update sale ticket dispute order shipping support scammer usa', 'market vendor empire dream nightmare looking new good crosspost scam legit sale buyer order best lsd wsm exit apollon marketplace', 'card credit wallet btc coin good cashout mdma cash looking paypal lsd bank carding cryptonia coinbase xmr debit need drop', 'weed xanax mg cocaine cannabis uk vendor pill best quality ketamine mdma drug meth heroin price usa high adderall new', 'review vendor mg mdma sample crosspost lsd xanax distillate reviews ketamine cocaine product heinekenexpress feedback cart vendymcvendface oz cartridge pack', 'order delivery shipping shipped package ordering ordered day time delivered nt vendor pack arrived informed placed received marked question cancelled']"
1,40,5,1500,43656,0.06902581,3.0970521347971323,False,"[43656, 5346, 3943, 6223, 5012, 2555]","['vendor order new best uk help free need crosspost mdma account shipping looking update dispute ticket sale question scammer support', 'market empire dream nightmare vendor new scam order marketplace exit crosspost apollon best link account deposit markets nt dreammarket cryptonia', 'review vendor mg mdma sample crosspost lsd xanax distillate reviews ketamine cocaine product heinekenexpress cart feedback vendymcvendface oz cartridge pack', 'wallet credit card btc coin good mdma lsd looking coinbase cash cashout xmr bank debit cryptonia drop like paypal fullz', 'xanax weed mg uk cannabis vendor pill best cocaine quality ketamine mdma drug heroin meth price usa new adderall high', 'vendor looking sale good buyer legit lsd selling seller sell uk vendors domestic need shop wsm cc supplier mdma crosspost']"
1,40,5,1650,40978,0.065522105,3.5380622516774394,False,"[40978, 4794, 3956, 6791, 10216]","['vendor order new help free best uk account need crosspost update dispute empire ticket shipping looking mdma question support deposit', 'market empire dream vendor nightmare new scam order marketplace exit apollon crosspost best link markets account dreammarket cryptonia berlusconi scammer', 'review vendor mg mdma sample crosspost lsd xanax distillate reviews ketamine cocaine product heinekenexpress dream cart oz vendymcvendface feedback pack', 'wallet btc credit card coin looking good mdma lsd cashout cash cryptonia xmr coinbase paypal cc bank drop debit like', 'vendor weed xanax mg uk best cocaine mdma ketamine quality cannabis sale looking pill drug price heroin good usa eu']"
