Topic,Labels
-1,outliers
0,reviews vendor
1,access problems - ask help
2,cocaine
3,xanax
4,order
5,darknet
6,empire market
7,pills - mdma
8,credit card
9,inquiry - vendor vendor - vendor
10,fraud - scammer
11,counterfeit money - fake IDs
12,dream market - dream - nightmare
13,lsd - reviews vendor
14,bitcoin
15,reviews vendor
16,ask help
17,new market
18,reviews vendor
19,ticket - deposit - deposited
20,pgp key
21,ask help - moderator support
22,samsara market - cryptonia - samsara
23,order
24,ketamine - mdma ketamine - ketamine vendor
25,ticket support
26,methamphetamine
